,Proxy address,Proxy type,Uptime
429,154.30.184.48:3129,http,13
430,160.202.100.123:59394,http,21
431,162.241.207.217:80,http,8
432,117.1.134.89:6666,http,16
433,3.226.168.144:80,http,11
434,80.191.162.2:514,http,10
435,92.118.92.107:8181,http,14
436,34.75.123.131:80,http,26
437,190.119.211.42:9812,http,5
438,43.255.113.232:84,http,22
439,136.226.32.237:80,https,50
440,104.160.190.96:59394,http,13
441,94.73.239.124:55443,http,15
442,170.178.164.104:59394,http,12
443,45.32.188.216:80,http,14
444,182.72.203.253:80,http,11
445,167.71.190.253:80,http,15
446,202.44.208.178:8080,https,10
447,50.112.212.20:80,http,6
448,125.228.43.81:8080,http,8
449,168.62.60.192:80,http,13
450,104.225.220.233:80,http,10
451,62.182.94.173:9812,http,13
452,198.211.28.30:59394,http,17
453,82.79.213.118:9812,http,12
454,211.250.133.182:8001,http,15
455,209.141.57.235:3128,http,11
456,154.30.185.122:3129,http,11
457,108.187.44.192:3129,http,33
458,185.44.232.30:53281,http,13
459,94.101.140.131:9999,http,3
460,168.119.53.93:80,http,11
461,102.217.78.239:9812,http,14
462,176.56.107.239:52210,http,10
463,149.54.11.76:80,http,3
464,50.231.95.3:8080,http,9
465,45.131.251.233:3129,http,50
466,164.132.170.100:80,http,14
467,94.102.192.204:1500,http,13
468,196.20.21.82:8080,http,12
469,162.215.22.229:59394,http,17
470,185.237.10.185:9812,http,11
471,116.202.177.193:8686,https,13
472,160.202.92.100:59394,http,20
473,213.32.75.44:5566,http,7
474,108.187.44.47:3129,http,25
475,190.112.137.81:8085,http,11
476,31.3.15.82:3128,http,25
477,181.49.100.190:8080,http,16
478,179.51.162.8:9812,http,11
479,103.130.141.98:8080,http,18
480,160.202.76.184:59394,http,17
481,181.176.221.151:9812,http,7
482,181.212.59.187:9812,http,8
483,181.205.106.106:9812,http,9
484,125.209.116.78:8080,https,20
485,37.237.205.30:9812,http,9
486,160.16.142.244:3128,https,25
487,189.164.118.26:3128,http,20
488,154.31.224.17:80,http,64
489,104.45.128.122:80,http,17
490,105.19.63.217:9812,http,11
491,81.91.144.190:55443,http,15
492,34.87.84.105:80,http,12
493,113.252.54.73:80,http,3
494,81.174.11.159:61743,http,12
495,162.243.174.235:80,http,7
496,34.206.77.75:80,http,11
497,174.46.141.153:8080,http,6
498,154.236.184.70:1981,http,18
499,122.102.118.83:8080,http,8
